,Date,Open,High,Low,Close,prev_close,Volume,gapped_percent,is_gapped,up_or_down,is_half_percent_continutation_target_price,is_half_percent_continued,is_gap_fill,max_gap_and_go_percentage,continuation_fill_time,greatest_continuation_fill_time
2499,2015-01-08,177.0462,178.9121,177.0289,178.8166,175.419,131525066,0.9276076137704511,True,1,177.92,True,False,1.991289427028998,00:30:00,05:10:00
2502,2015-01-13,177.1417,178.3219,174.0088,174.7768,175.6093,195699224,0.8726189330519486,True,1,178.02,True,True,1.544679011874661,00:10:00,00:30:00
2503,2015-01-14,173.2625,174.5208,172.3252,174.3646,174.7768,172164500,-0.8664193416975364,True,2,172.39,True,False,-1.4027033336232344,04:15:00,04:15:00
2508,2015-01-22,177.0289,178.9988,175.5883,178.8634,176.0656,135999735,0.5471256168155527,True,1,177.91,True,True,1.6659699566525201,05:00:00,05:50:00
2511,2015-01-27,176.1437,177.1417,175.0762,176.1437,177.9531,116255202,-1.0167847595799178,True,2,175.25,True,False,-1.6166619182245243,01:10:00,01:15:00
2514,2015-01-30,174.0609,175.4494,172.8112,173.8005,175.2064,162925022,-0.6538003177966093,True,2,173.18,True,True,-1.3670733489187543,06:10:00,06:25:00
2516,2015-02-03,176.1697,177.7752,175.7792,177.4107,174.0609,111144777,1.2115299874928844,True,1,177.04,True,False,2.1339083045072207,04:20:00,06:25:00
2521,2015-02-10,178.6691,179.7452,177.7492,179.6063,177.4888,86969995,0.6649997070237605,True,1,179.56,True,False,1.2712914843077499,05:55:00,06:10:00
2538,2015-03-06,181.7412,182.1925,179.7278,180.0576,182.7132,149613364,-0.5319812690051996,True,2,180.83,True,False,-1.6339268317778892,02:05:00,06:10:00
2540,2015-03-10,179.3894,179.4761,177.8793,178.2265,181.0296,134665927,-0.9060396752796189,True,2,178.48,True,False,-1.7402126503069042,02:25:00,06:25:00
2544,2015-03-16,179.3894,181.1077,179.3633,180.9384,178.3014,118307096,0.6102027241513492,True,1,180.28,True,False,1.5739080007223685,00:30:00,06:25:00
2548,2015-03-20,182.8052,183.9472,182.7181,183.5723,181.8366,141126752,0.5326760399171615,True,1,183.71,True,False,1.160712419831874,03:20:00,03:50:00
2554,2015-03-30,180.4255,181.8463,180.408,181.6415,179.1179,77913940,0.730021957604465,True,1,181.32,True,False,1.5232425123340672,00:15:00,05:45:00
2567,2015-04-17,182.134,182.3868,180.4516,181.1926,183.4067,158015333,-0.693922304910352,True,2,181.22,True,False,-1.6112279431449272,00:35:00,04:45:00
2568,2015-04-20,182.2386,183.2759,182.1514,183.1016,181.1926,72673663,0.5772862688652806,True,1,183.14,True,False,1.1497710171386737,01:30:00,01:30:00
2577,2015-05-01,182.535,183.7292,182.4304,183.3195,181.2536,86517823,0.7069652685519022,True,1,183.44,True,False,1.3658211478282283,04:20:00,06:25:00
2586,2015-05-14,184.1389,185.0804,183.8513,184.9584,182.9273,82142065,0.6623396289126906,True,1,185.05,True,False,1.1770249711224048,05:45:00,06:25:00
2617,2015-06-29,182.236,183.7978,179.8578,180.4709,183.9922,170240083,-0.9544969841112867,True,2,181.32,True,False,-2.2470517771949026,03:30:00,06:25:00
2623,2015-07-08,180.8126,181.1143,178.9118,179.1132,182.1352,149073874,-0.7261638606924934,True,2,179.9,True,False,-1.7697842042614487,01:00:00,05:20:00
2637,2015-07-28,182.0126,183.5105,181.1454,183.2039,180.8826,110127403,0.6247145938857555,True,1,182.92,True,False,1.452820779887071,03:35:00,04:45:00
2646,2015-08-10,183.3178,184.5353,183.3178,184.3339,181.9741,69451206,0.7384017835505232,True,1,184.23,True,False,1.4074530386467161,02:20:00,04:45:00
2647,2015-08-11,183.0462,183.4842,181.9863,182.6521,184.3339,104882144,-0.6985692810709268,True,2,182.12,True,False,-1.2735584718817319,03:35:00,03:40:00
2648,2015-08-12,181.417,183.1951,179.8841,183.0024,182.6521,160731454,-0.6762035585684416,True,2,180.5,True,True,-1.515449315939976,00:40:00,00:50:00
2654,2015-08-20,180.8914,182.4475,178.6139,179.5398,182.6783,166373224,-0.9781676312950157,True,2,179.98,True,False,-2.224894801407724,03:15:00,06:25:00
2655,2015-08-21,176.7044,178.6406,173.0254,173.6386,179.5398,306098920,-1.5792598632726678,True,2,175.81,True,False,-3.628387688969255,01:35:00,06:25:00
2656,2015-08-24,164.2309,172.9792,159.7724,165.3171,173.6386,443270458,-5.417977339140033,True,2,163.36,True,False,-7.985666781464485,00:00:00,00:00:00
2658,2015-08-26,168.2515,170.6253,165.0018,169.2851,167.2765,305209621,0.582867288591042,True,1,169.09,True,True,2.0019548472140505,05:40:00,06:20:00
2659,2015-08-27,172.5787,174.6722,170.9932,172.675,169.2851,250637544,1.9455935578500398,True,1,173.43,True,False,3.182264712015413,01:15:00,03:45:00
2660,2015-08-28,173.8751,175.0445,173.367,173.9189,172.675,131443663,0.6950050673230009,True,1,174.74,True,False,1.3722310699290503,01:55:00,02:00:00
2662,2015-09-01,169.1625,170.6078,167.069,168.1909,173.0999,227521793,-2.2746402510919976,True,2,168.3,True,False,-3.484057472014717,05:35:00,06:10:00
2664,2015-09-03,171.913,173.4809,170.7742,171.2035,170.0122,135937374,1.1180374114328289,True,1,172.76,True,False,2.0402653456634194,00:45:00,01:35:00
2665,2015-09-04,168.926,169.8107,167.8398,168.6369,171.2035,161860479,-1.330288224247754,True,2,168.07,True,False,-1.9647378704290477,03:50:00,04:55:00
2666,2015-09-08,171.6327,173.0955,170.9582,172.5787,168.6369,99909995,1.7764795249438305,True,1,172.48,True,False,2.6439053374439343,05:05:00,06:25:00
2676,2015-09-22,170.7111,171.2218,169.5489,170.6671,173.0885,126343351,-1.373517015861841,True,2,169.85,True,False,-2.0449654367563452,01:15:00,04:00:00
2678,2015-09-24,169.1879,170.3325,167.7879,170.2004,170.4294,140559116,-0.7284541282196462,True,2,168.34,True,False,-1.549908642522933,00:15:00,01:35:00
2680,2015-09-28,168.8621,168.9766,165.2168,165.4977,169.8482,147440622,-0.580577244857463,True,2,168.01,True,False,-2.7267878022846195,00:20:00,05:40:00
2682,2015-09-30,167.6206,168.9017,166.8017,168.3602,164.913,137397729,1.6418353919945576,True,1,168.45,True,False,2.418669237719279,00:35:00,06:25:00
2685,2015-10-05,172.9828,174.9904,172.8684,174.779,171.0413,115099321,1.135105965635195,True,1,173.84,True,False,2.3088575683182873,00:40:00,06:00:00
2713,2015-11-12,181.823,182.3161,180.3438,181.013,183.1781,110631023,-0.7397718395375829,True,2,180.91,True,False,-1.547291952476859,05:20:00,06:25:00
2714,2015-11-13,179.93,180.2117,178.2438,178.4683,181.013,138129206,-0.5982995696441683,True,2,179.02,True,False,-1.529834873738357,00:40:00,05:50:00
2727,2015-12-04,181.4532,184.8784,181.3211,184.5094,180.5111,170316786,0.5219069630621112,True,1,182.36,True,False,2.4194080031643486,00:15:00,05:35:00
2732,2015-12-11,179.0495,179.7451,177.4293,177.7419,181.5501,185550461,-1.3773608497048426,True,2,178.14,True,False,-2.2697866869806047,02:45:00,05:50:00
2734,2015-12-15,180.2381,181.4796,178.6238,180.4583,178.0545,138292573,1.226366084541538,True,1,181.13,True,False,1.9236245082264223,00:20:00,03:05:00
2735,2015-12-16,181.7042,183.4872,180.3262,183.0998,180.4583,176277309,0.6904088091265281,True,1,182.61,True,True,1.6784487053241623,05:25:00,06:10:00
2737,2015-12-18,179.6013,179.7431,177.1124,177.8963,181.1715,213225813,-0.866692608936836,True,2,178.7,True,False,-2.240473805206669,00:40:00,06:25:00
2739,2015-12-22,179.5526,180.5579,178.5207,180.4162,177.6527,96124358,1.0694461722225457,True,1,180.44,True,False,1.6353255537348879,05:45:00,05:50:00
2742,2015-12-29,182.914,184.0477,182.8786,183.9459,181.6031,82280284,0.7218489111694543,True,1,183.82,True,False,1.346122395487731,04:25:00,05:45:00
2744,2015-12-31,181.6917,182.3648,180.5756,181.2311,182.9229,88435748,-0.6730704575534289,True,2,180.78,True,False,-1.2832182301942459,06:25:00,06:25:00
2745,2016-01-04,177.5818,178.0601,175.8989,176.6252,181.2311,201958034,-2.0136168681865367,True,2,176.68,True,False,-2.9422102497860467,00:30:00,01:40:00
2748,2016-01-07,173.0114,174.8803,171.4702,171.736,175.9697,194232285,-1.6811416965534294,True,2,172.13,True,False,-2.556974297279579,04:05:00,06:00:00
2754,2016-01-15,165.4295,167.1921,164.3223,166.1647,170.6199,286275482,-3.042083602205845,True,2,164.58,True,False,-3.6910114236381504,03:00:00,03:10:00
2756,2016-01-20,163.8883,166.0717,160.3365,165.7572,166.6873,264613643,-1.6791921160160412,True,2,163.05,True,False,-3.8100083209698594,00:25:00,02:55:00
2758,2016-01-22,168.0956,168.9636,167.2984,168.2284,165.7351,149165402,1.4242607631093245,True,1,168.92,True,False,1.947988084600079,04:40:00,04:45:00
2765,2016-02-02,170.0265,170.0353,167.883,168.4439,172.232,162482988,-1.2805402015885554,True,2,169.17,True,False,-2.525082446932039,00:20:00,05:40:00
2769,2016-02-08,164.5438,164.8538,161.9131,163.4809,166.3064,177806858,-1.059850973865102,True,2,163.71,True,False,-2.641690277704292,00:05:00,05:00:00
2772,2016-02-11,161.5057,163.0646,160.3985,162.2054,164.5083,197533505,-1.8251966618097697,True,2,160.68,True,False,-2.4982326119715412,02:00:00,05:05:00
2773,2016-02-12,163.8263,165.3232,162.9406,165.1195,162.2054,110708891,0.9992885563612592,True,1,164.64,True,False,1.9221308291832557,01:55:00,06:25:00
2774,2016-02-16,167.201,168.0956,166.1912,167.9007,165.1195,97916125,1.2606021699435896,True,1,168.03,True,False,1.8023916012342591,03:40:00,05:00:00
2775,2016-02-17,169.3179,171.2311,169.185,170.7129,167.9007,122709622,0.8440703344298197,True,1,170.16,True,False,1.9835533741074323,00:45:00,04:50:00
2778,2016-02-22,171.7183,172.6749,171.6474,172.2763,169.9955,85595742,1.0134385910215309,True,1,172.57,True,False,1.5761593689244806,00:30:00,04:10:00
2780,2016-02-24,168.8485,171.4171,167.6881,171.1957,170.3985,135492734,-0.9096324204731915,True,2,168.0,True,True,-1.5906243306132513,00:20:00,01:00:00
2792,2016-03-11,178.2639,179.6368,178.1399,179.4375,176.8555,114353015,0.7963563474135666,True,1,179.15,True,False,1.5726398104667298,01:55:00,06:25:00
2814,2016-04-13,184.2937,185.273,184.1512,185.0415,183.3677,85986569,0.5049962452492929,True,1,185.21,True,False,1.039059768977842,06:00:00,06:25:00
2825,2016-04-28,185.5935,186.7509,184.258,184.5608,186.6841,83424018,-0.5841954403186961,True,2,184.66,True,True,-1.2995750575437282,05:55:00,06:25:00
2827,2016-05-02,184.2224,185.3442,183.7684,185.0415,183.2698,56194438,0.5197801274405219,True,1,185.14,True,False,1.1318831580544078,06:05:00,06:10:00
2828,2016-05-03,183.8663,184.1156,182.7623,183.5191,185.0415,94515926,-0.6351007746910925,True,2,182.94,True,False,-1.2317236944144978,01:20:00,02:00:00
2859,2016-06-16,184.0533,185.6914,183.0383,185.549,185.8695,132906871,-0.9771371849604055,True,2,183.12,True,False,-1.523219247913184,01:05:00,01:05:00
2866,2016-06-27,180.4104,180.4194,177.7793,178.1284,181.7819,210252341,-0.754475555597118,True,2,179.5,True,False,-2.201869383035385,00:10:00,01:30:00
2867,2016-06-28,180.312,181.8513,179.9898,181.3591,178.1284,143019298,1.225857302934295,True,1,181.2,True,False,2.0900092292975234,05:20:00,06:25:00
2868,2016-06-29,183.319,185.1894,183.2116,185.1178,181.3591,117922408,1.0806736469247895,True,1,184.23,True,False,2.1119976885637355,01:45:00,05:45:00
2871,2016-07-05,186.9972,187.1135,185.8875,186.3439,187.995,97093945,-0.5307587967765165,True,2,186.06,True,False,-1.1210404532035512,04:05:00,04:15:00
2874,2016-07-08,188.8766,190.568,188.6336,190.1832,187.1762,111941463,0.9084488305671351,True,1,189.81,True,False,1.8120893575144799,01:40:00,05:20:00
2918,2016-09-09,194.1746,194.2283,190.8454,191.8388,195.6423,193253580,-0.7501956376509619,True,2,193.2,True,False,-2.451872626727448,01:05:00,06:25:00
2920,2016-09-13,192.2684,192.5457,190.1742,190.9976,193.7092,163273946,-0.7437953385796833,True,2,191.3,True,False,-1.824900417739579,00:30:00,03:30:00
2959,2016-11-07,190.1904,191.7555,190.0555,191.1079,187.9508,92559669,1.1915884369739445,True,1,191.13,True,False,2.02430636102641,01:35:00,06:25:00
2997,2017-01-04,204.1319,205.1542,204.1228,204.9761,202.9421,67389822,0.5862755928907758,True,1,205.15,True,False,1.0900153294954533,06:10:00,06:10:00
3035,2017-03-01,215.6856,217.4318,215.6676,217.1695,213.8852,112486257,0.8417599721719858,True,1,216.76,True,False,1.6581792475589765,02:20:00,04:50:00
3089,2017-05-17,216.3605,216.8512,214.225,214.9702,218.1506,141727409,-0.8205799113089743,True,2,215.27,True,False,-1.7994908104768004,04:15:00,06:25:00
3168,2017-09-11,226.492,227.6426,226.4738,227.4965,225.0036,55933022,0.6615005271026705,True,1,227.62,True,False,1.1728701229669132,03:10:00,03:10:00
3211,2017-11-09,236.5082,237.1138,235.251,236.8936,237.7562,86953110,-0.524907447208535,True,2,235.32,True,False,-1.0536844044445537,03:00:00,03:00:00
3268,2018-02-05,252.2164,254.43,242.8638,247.5309,254.8405,250690302,-1.029702892593602,True,2,250.94,True,False,-4.6996847047466925,03:35:00,05:40:00
3271,2018-02-08,247.1988,247.3464,237.5879,241.7846,249.1911,205695698,-0.7995068844754087,True,2,245.95,True,False,-4.656346073354953,00:15:00,06:25:00
3272,2018-02-09,240.5487,243.1405,233.2806,239.1928,241.7846,250142002,-0.5111574517152933,True,2,239.34,True,True,-3.517180167802258,00:10:00,04:05:00
3273,2018-02-12,243.3434,246.2765,241.5448,245.8799,239.1928,122294493,1.7352529005889796,True,1,244.54,True,False,2.961502185684516,00:10:00,05:50:00
3276,2018-02-15,250.4824,251.8106,247.8998,251.2756,248.61,94699780,0.7531475001005586,True,1,251.73,True,True,1.2873979325047182,06:25:00,06:25:00
3278,2018-02-20,250.9067,252.4193,249.4955,250.2656,252.6591,68750454,-0.6935827761596532,True,2,249.64,True,False,-1.2521219303005522,05:50:00,05:50:00
3280,2018-02-22,250.0489,251.8475,248.7023,249.4217,251.4324,84861560,-0.55024730305243,True,2,248.79,True,True,-1.0858186932153506,06:15:00,06:20:00
3281,2018-02-23,250.6853,253.3693,250.1872,252.982,249.4217,67508333,0.506611894634679,True,1,251.93,True,False,1.5827011041942312,05:15:00,06:25:00
