,Date,Open,High,Low,Close,prev_close,Volume,gapped_percent,is_gapped,up_or_down,is_half_percent_continutation_target_price,is_half_percent_continued,is_gap_fill,max_gap_and_go_percentage,gap_fill_time,greatest_gap_fill_time
2502,2015-01-13,177.1417,178.3219,174.0088,174.7768,175.6093,195699224,0.8726189330519486,True,1,178.02,True,True,1.544679011874661,04:00:00,04:40:00
2506,2015-01-20,175.649,175.9267,173.7137,175.4407,174.2605,114315445,0.7967956019866771,True,1,176.52,False,True,,00:25:00,02:15:00
2508,2015-01-22,177.0289,178.9988,175.5883,178.8634,176.0656,135999735,0.5471256168155527,True,1,177.91,True,True,1.6659699566525201,00:10:00,00:15:00
2512,2015-01-28,177.1851,177.2892,173.4881,174.6076,176.1437,140353332,0.5912218262702612,True,1,178.07,False,True,,01:05:00,06:15:00
2514,2015-01-30,174.0609,175.4494,172.8112,173.8005,175.2064,162925022,-0.6538003177966093,True,2,173.18,True,True,-1.3670733489187543,04:55:00,05:00:00
2552,2015-03-26,178.6646,179.8937,177.9324,179.0743,179.7455,133145629,-0.6013502424260889,True,2,177.77,False,True,,04:15:00,04:25:00
2618,2015-06-30,181.5484,181.6009,179.814,180.5498,180.4709,145362469,0.5970491641588679,True,1,182.45,False,True,,00:40:00,03:00:00
2621,2015-07-06,180.2432,181.89,180.033,180.6549,181.6184,102693135,-0.7571920025724302,True,2,179.34,False,True,,01:10:00,01:15:00
2648,2015-08-12,181.417,183.1951,179.8841,183.0024,182.6521,160731454,-0.6762035585684416,True,2,180.5,True,True,-1.515449315939976,05:25:00,06:05:00
2657,2015-08-25,171.1859,171.2035,163.8543,167.2765,165.3171,328764118,3.550025980373472,True,1,172.01,False,True,,06:15:00,06:25:00
2658,2015-08-26,168.2515,170.6253,165.0018,169.2851,167.2765,305209621,0.582867288591042,True,1,169.09,True,True,2.0019548472140505,00:10:00,03:10:00
2667,2015-09-09,174.5934,174.7248,170.2399,171.3348,172.5787,131377802,1.167409419586545,True,1,175.46,False,True,,04:00:00,06:25:00
2668,2015-09-10,170.4239,172.7539,170.1523,171.2823,171.3348,135668642,-0.5316491454158747,True,2,169.57,False,True,,01:05:00,04:05:00
2679,2015-09-25,171.3803,171.6973,168.8885,169.8482,170.2004,131131035,0.6932416140032593,True,1,172.23,False,True,,04:55:00,05:40:00
2684,2015-10-02,167.0923,171.6797,166.52,171.0413,168.6772,169111505,-0.9396053527092012,True,2,166.25,False,True,,02:40:00,06:25:00
2721,2015-11-24,183.0293,184.7551,182.6243,184.5086,184.0771,88531657,-0.569218007019882,True,2,182.11,False,True,,02:30:00,05:45:00
2729,2015-12-08,181.8142,183.3982,181.1891,182.1752,183.0733,94161043,-0.6877573081383191,True,2,180.9,False,True,,01:30:00,01:30:00
2735,2015-12-16,181.7042,183.4872,180.3262,183.0998,180.4583,176277309,0.6904088091265281,True,1,182.61,True,True,1.6784487053241623,04:30:00,04:30:00
2749,2016-01-08,172.8874,173.472,169.6899,170.7617,171.736,174288331,0.6704476638561652,True,1,173.75,False,True,,01:45:00,06:25:00
2751,2016-01-12,171.674,172.3206,169.3002,171.1248,169.9379,153016402,1.0216084816865414,True,1,172.52,False,True,,02:05:00,04:50:00
2752,2016-01-13,172.232,172.5951,166.8555,168.1222,171.1248,199276493,0.6470131740110177,True,1,173.09,False,True,,01:00:00,05:10:00
2755,2016-01-19,168.255,168.3879,164.9246,166.6873,166.1647,164453027,1.2579687502820904,True,1,169.09,False,True,,04:35:00,05:15:00
2762,2016-01-28,168.255,168.4676,165.7749,167.6926,166.3108,128355225,1.169016083140719,True,1,169.09,False,True,,00:55:00,01:00:00
2766,2016-02-03,169.5393,169.8671,165.7218,169.0699,168.4439,193324209,0.6503055319901663,True,1,170.38,False,True,,00:20:00,01:05:00
